title,plot,plot_word_count
Miraculous Journey,"A group of seven people - an actress, a blind girl, a financier, a gangster, an heiress, a hostess, and a pilot - survive an airplane crash to find themselves deserted in an African jungle. The group come across an old hermit who has been living on the island for a while. The hermit teaches them how to survive in the jungle, though the unrepentant gangster is eaten by a crocodile. Eventually, a member of the group named Larry uses a canoe to get off the island. Larry locates a helicopter and flies back to the island, where he picks up the rest of the group. Although they offer the hermit a ride, he declines the offer, feeling he has become too attached to the jungle.",126
Jaan-E-Mann,"Suhaan Kapoor (Salman Khan) and Piya Goyal (Preity Zinta) fall in love in college and elope. However, he has to keep his marriage a secret in order to further his career as a movie star and, when his career hits a low, he returns home to find out that she has left him. She does not answer his calls or mails, and he soon receives divorce papers in the mail. The film begins when Suhaan receives a notice saying his ex-wife Piya, who has settled in New York, wants a divorce settlement of 5 million rupees, because of his failure to make his alimony payments due to his poor financial condition. Suhaan appeals to his uncle Boney Kapoor (Anupam Kher), a midget lawyer, for help. While they are trying to figure out a solution, Agastya Rao (Akshay Kumar) lands at their doorstep searching for Piya. He reveals to them that he fell in love with Piya during his college days but could not express his love to her because she was in love with someone else, unaware that the person he lost her to was Suhaan. Piya had ignored Agastya then, a nerd, a nobody, and even broke his heart by blowing him off to be with Suhaan at a concert that Agastya had taken her to. A heartbroken Agastya left the college as a result and eventually wound up in Houston working for NASA. Suhaan and Boney Kapoor hatch a plan to get Agastya and Piya together, so that Suhaan need not pay alimony to Piya and Agastya gets the girl of his dreams. Suhaan accompanies Agastya to New York City to help Agastya win Piya over. They rent an apartment opposite Piya's and watch her every move, literally, using telescopes, binoculars, and surveillance techniques. Using a headset, Suhaan feeds Agastya lines to woo Piya with and eventually succeeds in getting Piya and Agastya together. One night, Suhaan finds out Piya has a baby girl, Suhaan 's daughter. He realizes that she left him since she did not want her and the baby to ruin Suhaan 's film career. Suhaan realizes his mistake and tries to make amends and start a new life with Piya and his daughter, Suhaani. Unfortunately, before he can act, Piya gets engaged to Agastya. It later emerges that Piya's brother, Vishal(Nawab Shah), had been hiding letters that Suhaan wrote to her and was responsible for initiating the divorce process. Agastya realizes that Piya is still in love with Suhaan and not him; so he reveals the truth and tells her to be with Suhaan. Piya flies back to India where Suhaan is trying to find work as a small-time actor. They express their mutual love, reuniting their broken family. A few years later, Agastya is on a NASA space shuttle and initiates a video conference with Suhaan and Piya (on Suhaan's Birthday). He introduces them to his new girlfriend who looks strikingly similar to Piya.",491
Shakespeare M.A. Malayalam,"Pavithran (Jayasurya) is a story writer for the stage plays of Jayabharathy Theaters. Pavithran is also known as 'Shakespeare' because he of his writing abilities. Kottayam Gopalan (Kalabhavan Mani), who runs Jayabharathy Theaters, likes him because all his scripts are super hit and always earn him awards. Once Gopalan makes Pavithran go to a remote village to write a play based on the life of the villagers there. Pavithran comes across Alli, a young country girl who is having a debtful life. Alli impresses him as a character and he sets out seeking to know her story. This forms the rest of the plot of this movie. Pavithran has a dramatic view of Alli's life and attempts to change her life according to his imagination. He prompts Alli to love the son of the doctor, for whom she is a domestic help. Alli's brother ran away from home long back, taking money from the villagers. Due to this, Alli and the rest of the family is being troubled by the villagers who were cheated by Alli's brother. Towards the end, when Alli's house was to be mortgaged by the bank, the doctor offers a job for Alli in Bangalore. Alli readily accepts it and goes asking her sister to inform Pavithran, who had already fallen in love with Alli by now. At her house, he saw her father finishing off the debts upon his family. Pavithran goes to Bangalore looking for Alli. After months, Pavithran goes to a hospital and is shocked to learn that Alli was there and was pregnant. Angrily, Pavithran goes to the doctor and violently asks him what had happened to Alli. The doctor, after being released from Pavithran's grip, tell him that when they had come to Bangalore, the doctor had led Alli to childless couple. The doctor then reveals the jobs he had in his mind for Alli, being a surrogate mother to the couple. Hearing the news however, Alli faints, but later accepts her job. Right then, a nurse comes in the room and tells the doctor that Alli is having labour pain. After giving birth, the couple enters and replaces the infant with a suitcase full of money. Pavithran waits until Alli regains consciesness. But instead of being happy about the money, Alli has a quarrel with Pavithran and ends up throwing the suitcase to Pavithran. Pavithran polietly leaves. Angrily, Alli tries to commit suicide. The next scene is the drama, which shows the rest of Alli's life: Alli is saved and Pavithran accepts her in his life.",426
Arrietty,"A boy named Shō tells the audience he still remembers the week in summer he spent at his mother's childhood home with his maternal great aunt, Sadako, and the house maid, Haru. When Shō arrives at the house on the first day, he sees a cat, Niya, trying to attack something in the bushes but it gives up after it is attacked by a crow. Shō gets a glimpse of Arrietty, a young Borrower girl, returning to her home through an underground air vent. At night, Arrietty's father, Pod, takes her on her first ""borrowing"" mission, to get sugar and tissue paper. After obtaining a sugar cube from the kitchen, they travel inside a hollow wall to a bedroom which they enter through an intriguing dollhouse with working electric lights and kitchen utensils. However, it is Shō's bedroom; he lies awake and sees Arrietty when she tries to take a tissue from his night table. Startled, she drops the sugar cube. Shō tries to comfort her, but Pod and Arrietty quietly leave and go home. The next day, Shō puts the sugar cube and a little note beside the air vent where he first saw Arrietty. Pod warns Arrietty not to take it because their existence must be kept secret from humans. Nevertheless, she sneaks out to visit Shō in his bedroom. She drops the sugar cube on the floor, letting him know that she is there. Without showing herself, she tells Shō to leave her family alone and that they do not need his help. On her return, Arrietty is intercepted by her father. Realizing they have been detected, Pod and his wife Homily decide that they must move out. Shō learns from Sadako that some of his ancestors had noticed the presence of Borrowers in the house and had the dollhouse custom-built for them. The Borrowers had not been seen since, however. Pod returns injured from a borrowing mission and is helped home by Spiller, a Borrower boy he met on the way. He informs them that there are other places the Borrowers could move to. While Pod is recovering, Shō removes the floorboard concealing the Borrower household and replaces their kitchen with the kitchen from the dollhouse, to show he hopes them to stay. However, the Borrowers are frightened by this and instead speed up their moving process. After Pod recovers, he goes to explore possible new living quarters. Arrietty goes to bid farewell to Shō, but in the course of the conversation he suggests to her that the Borrowers are becoming extinct. Arrietty tells him fiercely that they will not give up so easily. Shō apologises that he has forced them to move out and reveals he has had a heart condition since birth and will have an operation in a few days. The operation does not have a good chance of success. He believes that there is nothing he can do about it, saying that eventually every living thing dies. While Sadako is out, Haru notices the floorboards have been disturbed. She unearths the Borrowers' house and captures Homily. Alerted by her mother's screams, Arrietty leaves Shō in the garden and goes to investigate. Saddened by her departure, Shō returns to his room. Haru locks him in and calls a pest removal company to capture the other Borrowers alive. Arrietty comes to Shō for help; they rescue Homily and he destroys all traces of the Borrowers’ presence. On their way out during the night, the Borrowers are spotted by the cat Niya. Sleepless, Shō goes into the garden for a stroll and the cat leads him to the ""river"", where the Borrowers are waiting for Spiller to take them further. Shō gives Arrietty a sugar cube and tells her that her courage and the Borrowers' fight for survival have made him want to live through the operation. Arrietty gives him her hair clip as a token of remembrance. The Borrowers leave in a floating teapot with Spiller. The Disney international dubbed version contains a final monologue, where Shō states that he never saw Arrietty again and returned to the home a year later, indicating that the operation had been successful. He is happy to hear rumors of objects disappearing in his neighbors' homes.",708
Kaamannana Makkalu,"Kamanna (Doddanna) is a thief who has two children: Krishna (Rockline Venkatesh) and Rama (Sudeep). Years go by and the two, Krishna and Rama, decide to stop stealing and mend their ways and lead a hardworking life along with their father. They migrate to neighboring village and meet a retired agricultural officer, Shivaramanna (Ramesh Bhat) who is in deep debt and is under pressure from the village's landlord, Patela (O.A.K. Sundar) to clear his debts. In efforts to help Shivaramanna, Rama confronts Gayatri (Deepu), Patela's daughter, who comes to collect the money Shivaramanna owes her father. Gayatri starts to acquire a liking for Rama but keeps it hidden due to her father's atrocious temper. In an attempt to teach Patela a lesson, Rama forcibly ties the mangalsutram around Gayatri's neck. Patela, realizing his daughter's love for Rama, comes down to arrange a grand remarriage between the two. But things go awry when Neelakanta (Adi Lokesh), Gayatri's maternal uncle, comes to town in an effort to stop the wedding between the two as he has plans of marrying her and wiping her family fortune.",183
Pattinathar,"The movie starts with a dream by a pious couple, where Lord Shiva appeared and told them that, they would find a baby boy at a certain spot. They were to take that baby to Poompugaar (Kaveripoom pattinam) and hand over the baby boy to Thiruvengadar, also called pattinatthar, (played by T. M. Soundararajan) and he would give gold equal to the weight of the baby to the pious couple. The saintly devotees found the baby and took him to pattinatthar and his wife Sivakalai (Gemini K. Chandra). A similar dream had also appeared to pattinatthar and his wife; who then adopted the child and gave the pious couple wealth, as told in their dream. They name the child Marudhavaanan, the divine child grows up and follows in his father's footsteps. Once, the father pattinatthar sent his adopted son Marudhavaanan on a ship with Merchantile goods for overseas trading. When the son came back, there was a severe storm and he arrived safely at home. Marudhavaanan's merchant friends from his business trip meet his father & say that they had lost all their goods in the storm at sea, but Marudhavaanan had only brought back sacks full of paddy husks and cow dung cakes. Then Marudhavaanan gives his father just a small box containing three cow dung cakes and palm leaf documents which are loan promissory notes from his friends. The angered father throws the cow dung cakes out, and to his surprise sees there are gold coins and precious gems like diamonds & pearls in them. Thiruvengadar hurries home to see his son.[5] But Marudhavaanan was not at home and Sivakalai gives Thiruvengadar a very small box, which the son Marudhavaanan had given her, to be handed over to his father, before the son had disappeared. Inside the box, Thiruvengadar sees a palm-leaf manuscript and a needle without an eyelet. On the script were the following words (in English for understanding): ""Not even an eyeless needle will accompany you in the final journey of life."" Then Pattinathar realised the philosophy and wisdom of the words and renounced everything, his wife, his wealth, kith, kin and with only a loin cloth he left his home. He began singing many philosophical songs to enlighten people on the blissful state of renunciation. Thereafter Thiruvengadar becomes and leads the life of a mendicant relying on alms. Meenakshi (S. D. Subbulakshmi) his sister feels that the dignity of her family will suffer by his conduct, and she decides to kill him by giving him poisoned Appam (Breakfast pancake). Discovering her plot through divine grace, he throws it on the roof of her house which catches fire immediately. But the miraculous fire is extinguished by him when she begs his pardon and pattinatthar forgives her & goes on his way. One night, feeling very hungry he peeps into a hut. The villagers mistake him for a thief and beat him. Then deciding not to beg for alms in future, he goes to a lonely Lord Ganesha Temple in the jungle and sits behind the Vigragam (God's idol) for meditation. A band of robbers returning from a successful loot of King Badragiri's palace throw a pearl necklace at the Vigragam as their offering to God. It accidentally falls on pattinathar's neck as he is sitting behind the Vigragam. He gets arrested by the king's sentries for having the stolen necklace. He is taken to the king, who orders his execution on the spikes. But the spikes catch fire and burn. King Badragiri gives up all worldly pleasures and abdicates his crown in favour of his son. At his ardent request, saint pattinatthar accepts the king Badragiri as a disciple and asks him to come to Thiruvidai Marudur temple. At Thiruvidai Marudur, pattinatthar and his disciples station themselves at the eastern and the western gates of the temple respectively. One day a devotee (Lord Shiva himself disguised) begs for food to pattinatthar but, the saint replies to the devotee, "" I have no food to give for your hunger"". Then he told the devotee to go to the western gate where he can find a family man sitting near the temple tower. ""You beg to him, may be he can give you some food"". The devotee comes to the former king and begs him for food. The former king who became a renunciant is now shocked, to know that he was called a family man just for having a begging bowl and a dog with him. At the very moment, the former king threw the begging bowl away and it accidentally hit the dog, after which it dies. After this incident and several years later Badragiri attains salvation by thinking of Lord Shiva and surrendering to God's feet.[6] At that time pattinatthar heard the voice (divine voice made without bodily presence) of Lord Shiva, which told him that, where the bottom of sugarcane stalk gives a sweet taste, at that place he will attain his salvation. After visiting various Shaivite shrines, pattinatthar finally comes to Tiruvottiyur and eats sugarcane and its bottom stalk gives a sweet taste. At Tiruvottiyur beach, he requested some Yadhava children playing in the beach, to cover him with a big mud plastered basket and to hold it tightly closed. The boys accede to his wish but twice, pattinatthar got out by using his Siddhis and without opening the basket, while the children were holding it closed and standing guard. The third time, again he sits inside. This third time, the boys closed the basket & grip it very tightly closed. After a while, they open it. They are stunned to find a Shivalingam instead of the sage. In the meantime, Sivakalai, pattinatthar's wife sees a vision of him at Tiruvottiyur about to attain salvation.",962
Deep End,"Mike (John Moulder Brown), a 15-year-old dropout, finds a job in a public bath. There he is trained by his co-worker Susan (Jane Asher), a woman ten years his senior. Susan is a tease who plays with Mike's and other men's feelings, acting sometimes warm and affectionate and other times cold and distant. Working in the bathhouse turns out to involve providing services to clients of a more or less sexual nature, in exchange for a tip. For example, an older woman (Diana Dors) is sexually stimulated by pushing Mike's head into her bosom and talking suggestively about football. Mike is confused by this and at first does not want to accept the tip he gets, but Susan tells him that these services are a normal practice, including exchange of her female clients for his male clients whenever a client prefers the opposite sex. Mike fantasizes about Susan and falls in love with her, even though she has a wealthy and handsome young fiancé, Chris (Chris Sandford). Mike also discovers that Susan is cheating on her fiancé with an older, married man (Karl Michael Vogler) who was Mike's physical education teacher and works at the baths as a swimming instructor for teenage girls, touching them inappropriately. Mike begins following Susan on her dates with Chris and the instructor and trying to disrupt them. Although Susan often gets angry at Mike for this, she provides just enough encouragement to cause him to continue the behavior. Mike's infatuation with Susan continues despite his friends mocking him, his mother being treated rudely by Susan, his bicycle being destroyed by Susan, and his activities drawing the ire of Susan's boyfriends, local police, and Mike's boss at work. Obsessed with Susan, Mike refuses other outlets for sex, such as his former girlfriend and a prostitute who offers him a discount. While following Susan on a date, Mike sees and steals a life-size advertising photo cutout of a naked girl who resembles Susan. He confronts Susan with it on the London Underground, flying into a violent tantrum in front of other passengers when Susan teasingly refuses to tell him whether she posed for the nude photo. Mike then takes the cutout to the deserted baths after hours and swims naked with it, embracing it. The next morning, Mike disrupts the instructor's foot race and punctures the tyres of the instructor's car while Susan is driving it. Susan gets mad and hits Mike, in the process losing the diamond from her new engagement ring in the snow. Anxious to find the lost diamond, Mike and Susan collect the surrounding snow in plastic bags and take it back to the closed baths to melt it, using a lowered ceiling lamp outlet to heat an electric kettle in the empty pool. While Susan is briefly out of the room, Mike finds the diamond in the melted snow, and lies down naked in the dry pool with the diamond on his tongue. He teases Susan by refusing to give her the diamond until she undresses. She does so, he gives her the diamond and she is about to leave, but she reconsiders and lies down next to him. They have a sexual encounter, although it is not clear whether Mike is able to perform. Chris then telephones and Susan rushes around the empty pool hurriedly gathering her clothes to go and meet him. Mike begs her to stay and talk to him, but Susan insists she has to leave. Meanwhile an attendant has arrived, who, unaware of the presence of Mike and Susan, opens the valve to start filling the dry pool with water. Mike becomes more insistent, chasing Susan around the rapidly filling pool, and finally hitting her in the head with the ceiling lamp, severely injuring her. She falls (along with a tin of red paint that resembles blood) into the water of the pool. Mike embraces the dying, nude Susan underwater, just as he embraced the photo cutout.",661
Robinson Crusoe,"The film opens to a fictionalized Daniel Defoe being offered to read a castaway's autobiography. He grudgingly obliges and begins to get engrossed in the narrative. Robinson Crusoe (Pierce Brosnan) is a Scottish gentleman with experience in the Royal Navy and the British army. He accidentally kills his lifelong friend Patrick (Damian Lewis) in a duel over his childhood love Mary. Patrick's brothers arrive and threaten Crusoe, but his page manages to buy time for an escape. Fleeing back to Mary, Crusoe subsequently ends up leaving for a year so that Mary can attempt to smooth over relations with Patrick's family. Crusoe joins the merchant marine transporting assorted cargoes between ports in the Pacific, Indian and Atlantic oceans. He chronicles the ship's journeys at the behest of the captain until a typhoon shipwrecks him near the coast of New Guinea. On his first day ashore on the island he buries other crew members who had washed up on the surrounding beaches. The next day he headed to the ship, which had beached itself on a reef. He salvages tools, supplies and weapons from the ship. Crusoe also frees the captain's corgi Skipper from a supply room. Crusoe begins to acclimate himself to the island while hoping for a passing European ship. One day a ship finally appears, but Crusoe notices it too late to be rescued. Crusoe resolves to acclimate himself to the island and moves inland, building a shelter and growing food. One day he hears ominous drums and human voices. Investigating the noises he finds a tribe from a nearby island making human sacrifices. After two prisoners have been sacrificed Crusoe intervenes by firing his weapon, which allows the third prisoner (played by William Takaku) to escape. Later he meets the escaped native and attempts to befriend him. Cultural and language barriers prevent him from communicating before they are attacked by a group of the tribesmen. He witnesses the native cut out the heart of a defeated enemy and calls him a savage heathen before fleeing to his shelter and preparing a defence. Days later Crusoe falls into a snare laid by the native. Crusoe communicates the danger and potency of his firearms on a bat, which allows them to begin communicating. He names the man Friday and has himself referred to as Master. Within six months Friday has learned the basics of English, but when Crusoe attempts to convert him to Christianity, Friday refuses and an argument ensues. Friday separates himself from Crusoe. Missing the companionship, Crusoe attempts to make peace with Friday. Reunited, the two set a trap for the tribe of natives who attempted to sacrifice Friday before. Once they arrive Crusoe lights a fuse leading to a load of gunpowder, but Skipper chases after the lit fuse and also dies in the explosion. At Skipper's funeral Crusoe gains a deeper appreciation for Friday's religion. Later Crusoe decides they must leave the island due to an impending attack by the native tribe. Friday mentions that he has heard of New Britain. He says he cannot take Crusoe to his home island because he is considered dead for being a sacrifice and he cannot go to New Britain because the Europeans enslave his people. Friday subsequently learns that ""Master"" is not Crusoe's real name, but an indicator of enslavement and once again leaves Crusoe, who subsequently attempts to build a canoe to get to New Britain by himself. A typhoon arrives while Crusoe has nearly finished his boat. Friday returns and accepts that Crusoe had decided not to make him a slave. The two attempt to salvage their crops and wildlife, but the typhoon destroys them – as well as Crusoe's canoe. The pair set traps to defend the island, but expect to die in the defence. The tribesmen arrive in force. Crusoe and Friday manage to defend the island, but Crusoe is shot by an arrow. Friday decides to try to save Crusoe by taking him to his home island. Upon arriving there Friday's tribe capture Crusoe, believing him to have come to enslave the people. They force Crusoe to fight Friday to the death for his freedom. After sparing Friday, Friday is about to land a killing blow when he is hit by a bullet. But Crusoe becomes upset because Friday was his friend. A European scout party rescues Crusoe and returns him to Scotland where he is reunited with Mary.",737
Source Code,"U.S. Army pilot Captain Colter Stevens wakes up on a Metra[6] commuter train headed to Chicago. Stevens is disoriented, his last memory before that was being on a mission in Afghanistan. To the world around him – including his traveling partner Christina Warren and the bathroom mirror – Stevens appears to be Sean Fentress, a school teacher. As he comes to grips with this revelation, the train explodes, killing everyone aboard. Stevens regains consciousness inside a dimly lit cockpit. Communicating through a video screen, Air Force Captain Colleen Goodwin verifies Stevens' identity and insists he stay ""on mission"" to find the train bomber before a second bomb hits downtown Chicago in six hours. Stevens is inside the ""Source Code"", an experimental device designed by scientist Dr. Rutledge. In the machine he experiences the last eight minutes of another compatible person's life within an alternative timeline.[a] Stevens is unwillingly sent back into the Source Code repeatedly in frustrating, exhausting attempts to learn the bomber's identity. He tries to warn authorities on the train and flee with Christina, escaping the explosion. Other times, he cannot locate or disarm the bomb in time and dies on the train. Later, Stevens learns that he has been with them for two months since being reported killed in action in Afghanistan. In real life he is comatose and is missing most of his body, he is on life support while hooked up to neural sensors. The cockpit capsule is a projection of his brain as it attempts to make sense of a missing environment. Angry at learning that he is on life support, he asks to be disconnected after the mission and Rutledge agrees. Stevens finally catches the bomber, a man named Derek Frost. Frost leaves his wallet behind to fake his own death and gets off at the last stop before Chicago. In their first encounter, Frost kills both Stevens and Christina and flees in a rented white van with a dirty bomb in it. Stevens remembers the license number and direction and reports it to Rutledge when he returns from the Source Code. The authorities use the information to catch Frost, preventing him from detonating the dirty bomb. Rutledge reneges on his promise to let Stevens die and orders Goodwin to wipe Stevens' memory for a future mission. Stevens convinces Goodwin to allow him one more trip back to the train so that he can try to save everyone, despite Rutledge's insistence that events could not be altered. Stevens is sent back into the Source Code where he asks Christina to go out for coffee with him. He then leaves her and disarms the bomb, subdues Frost, and reports him to the authorities. Stevens uses Frost's phone to send an email to Goodwin before calling his estranged father and reconciling with him under the guise of a fellow soldier. Stevens returns to Christina and starts to kiss her, at the same time Goodwin approaches the Source Code chamber and disconnects the life support. Stevens dies, but in the new alternate timeline he finishes the kiss with Christina. They continue on the train and then walk through downtown Chicago to the Cloud Gate. When the alternate-timeline Goodwin arrives for work at Nellis Air Force Base that morning, she receives the email from Stevens. The email includes a coded message verifying Steven's identity, and he informs Goodwin that they have changed history and that Source Code works. He asks her to take care of the alternate-timeline version of him that is still in a coma.",589
Mahha Samudram,"Isahak (Mohanlal) is a fisherman with his heart in the right place. He is the pivot around which an old-age home run by a priest (Jagathy Sreekumar) revolves. Isahak bears the entire expenses of the home, one of whose inmates is his mentally ill father Velankani (Innocent). Incidentally, Isahak is also the star player of his football club called ‘Beach Eleven’ of Puthenkara. Their archrivals belonging to village Mattukara are named the Seven Stars. Of course, Mattukara is under the control of the villains like Riza Bava. As it often happens, Isahak falls in love with Riza Bava’s sister Devi (Laila Mehdin). The brother is not amused, and he vows to frustrate the lovers’ plans. Unfazed, the lovers get married on the high seas and plan to spend their first night on the boat. The bride’s brother is bent on killing the newly-wed couple. But fate has other ideas. In the melee that follows, Devi accidentally kills her brother. She is arrested, and a heartbroken Isahak is left to fend for himself. In another twist in the tale, the villains of Mattukara kidnap Isahak’s father Velankani. Their condition for releasing him: Isahak should not play in the football match for ‘Beach Eleven’ in a tournament. Meanwhile, Devi comes out of jail on parole. The denouement puts Isahak in a dilemma. He is caught between his wife and father. How he resolves it is what the remaining story is about.[1]",239
Daughters of Pharmacist Kim,The story of four daughters of a herb shopkeeper who faced tumultuous marriages with different lives.,16
The Jerky Boys: The Movie,"The film opens in a New York police station as a pair of ""low-lifes from Queens"" named Johnny B. (Johnny Brennan) and Kamal (Kamal Ahmed) are taken into police custody and interrogated by an NYPD detective named Robert Worzic (Brad Sullivan). Worzic demands to know exactly how the pair got into their situation, so Johnny explains that for the past twenty years, he and Kamal frequently entertained themselves by performing prank calls on the telephone. He brings up an early call where he got his neighbor Brett Weir, the local goody-two-shoes kid, in trouble with his mother by impersonating an angry citizen and claiming that Brett has been spitting and cursing. One day twenty years later (the beginning of the film's present day), Johnny and Kamal are adults and still performing prank calls, but Johnny's mother Mrs. B (Suzanne Shepherd) demands that they get jobs. Johnny argues that they get fired from everything they try, even though their reason for termination usually stems from their inability to not insult people over radios and intercoms. Mrs. B compares them to Brett Weir (James Lorinz), who has grown to live a very successful life and now owns his own house, and tells them to get out of the house and job-hunt. Johnny and Kamal decide to head to Mickey's, their local bar, and knock back a few drinks placed on their sizable tab. They happen to meet Brett, who buys them drinks and brags that he's on his way to a meeting at a fancy restaurant. Curious, Johnny calls Brett's new friends at the restaurant as ""Frank Rizzo"" and tells the people on the other end (in no polite terms) that ""his men"" Johnny and Kamal have just gotten in from Chicago and need to be cared for. Unbeknownst to the pair, Brett's friends are actually the local Mafia run by Ernie Lazzaro (Alan Arkin), who is confused and bewildered at ""Rizzo"" and his vulgarity but nonetheless gives the boys a limousine ride and a fully comped meal. Feeling that they have stumbled onto a good job, Johnny calls again as ""Rizzo"" the next day and demands another good time for him and Kamal. This time, Lazzaro and his right-hand man Tony Scarboni (Vincent Pastore) introduce the pair to the many Mafia leaders and officials on their payroll. They are given money as an advance on their first assignment: beat up Mickey so the mob can take over his bar and tear it down. At this point, the boys realize what they're in and that they're in deep. As they try (and fail) to convince Mickey (Alan North) to lay low, Brett recognizes them and reveals to Lazzaro that they're not mobsters at all. Scarboni's men Geno (Brian Tarantina) and Sonny (Peter Appel) later grab Johnny and Kamal and takes them to a hot dog-processing plant so that Scarboni can run them through the grinder as punishment. Using their vocal talents, the boys distract their captors and escape. Johnny and Kamal lead Scarboni and his men through the city, crashing a local concert, stealing a cab, and wrecking a nightclub magic show along the way. They eventually make it back to Johnny's house in Queens, only to get arrested by Worzic for all the trouble they caused. Returning to the present situation, Johnny and Kamal insist to Worzic that everything was just a big misunderstanding and try to tell him of Lazzaro's many rackets in the city. Worzic, however, only cares about ""Frank Rizzo"" (who apparently is an actual Mafia boss that he wants arrested) and throws the boys in a jail cell. They are each given one phone call: Johnny calls his mother, who is threatened by Scarboni to tell them where he is, while Kamal calls a local demolition crew. They are later released on bail and picked up by Scarboni's men so that they can take them to Lazzaro and Scarboni, who are now fitting Mrs. B with cement shoes. Johnny insists that ""Frank Rizzo"" can set everything straight and calls his house, where he had previously set up a tape-recording of ""Rizzo"" to play on the answering machine. Though it seems to work well enough to make Lazzaro brag about his operation, Brett sees through the deception and the rest of the mob chase after the boys and Mrs. B. Barely making it back to Queens, Johnny and Kamal immediately call Worzic and tells them that they have taped evidence to incriminate Lazzaro. Instead, the detective is revealed to be on the take (explaining his prior refusal to help) and joins Lazzaro in chasing the boys, but they are distracted when Lazzaro recognizes the next-door neighbor Uncle Freddie (William Hickey) as a Mafia boss from long ago. This gives the boys the chance to escape downtown and call every news outlet they can think of with their evidence that exposes Lazzaro. They credit ""Frank Rizzo"" as the informant, who in turn credits Johnny and Kamal as ""The Jerky Boys"". Lazzaro, Scarboni, Worzic, and all their accomplices are arrested, while Johnny and Kamal are made heroes and given a cushy office job in a high-rise building. Not surprisingly, they start off by prank calling the White House and demanding to know who's in charge. Meanwhile, Brett Weir has just gotten out of prison after making a deal with prosecutors, only to see his house getting torn down by the demolition crew that the Jerky Boys had called earlier.",909
Under the Lighthouse Dancing,"Three couples travel to Rottnest Island near Perth, Western Australia for the weekend. One of the couples announces that they intend to get married and when the bride-to-be tells the others that she is terminally ill, they make sure the wedding takes place that weekend.",45
The Pay-Off,"Gene Fenmore is a suave gentleman, safely ensconced in the upper crust of society. Unbeknownst to his society acquaintances, he is also the leader of the largest mob in the city. But it is a mob with scruples, thanks to Fenmore, and they only prey on dishonest businessmen, and never shoot or kill anyone. However, there is a power struggle developing between Fenmore and his number two man, Rocky, who disagrees with the moral constraints put on the gang by Fenmore. The tension between the two men is exacerbated by the fact Rocky has taken Fenmore's girlfriend, Dot away from him. As he starts to exert his influence on the other gang members, Rocky holds up a young engaged couple, Annabelle and Tommy, of their last few dollars for the fun of it. When Fenmore hears of the robbery, he gives them back their money and takes them under his wing, offering the both of them jobs on the legitimate side of his business. When Rocky sees that Fenmore has taken a liking to the couple, he develops a plan to use them in order to take over Fenmore's gang. Even though Fenmore has given explicit orders not to involve the couple in the illicit activities of the gang, Rocky takes them along when he goes to hold up a jewelry store. When the robbery goes wrong, Rocky ends up shooting and killing the owner of the store, after which he frames Tommy and Annabelle for the crime. In order to set things right, Fenmore orchestrates a confrontation with the police, wherein he confesses to the jewelry store robbery, and in the ensuing melee, Rocky is killed. As he is led off in handcuffs, Fenmore turns to the police officer and says, ""If it wasn't for men like me, they wouldn't need men like you.""",305
